Sample number,depth?cm),?13C/12C,?18O/16O,depth?cm),,AgeD,Donge,hulu,AgeH,,Depth,Cal Age
96,388,0.707,-1.657,388,,375,-7.82,-5.14,15.935,,,
97,392,0.804,-1.966,392,,379,-7.84,-5.4,16.012,,,
98,396,0.836,-2.244,396,,383,-7.7,-5.36,16.089,,,
99,400,0.74,-1.907,400,,387,-7.92,-5.25,16.143,,,
100,404,0.546,-1.827,404,,391,-8.01,-5.41,16.196,,,
101,408,0.254,-1.257,408,,403.2,-7.38,-5.23,16.25,,,
102,412,0.611,-1.676,412,,415.3,-7.62,-5.21,16.303,,,
103,416,0.804,-1.964,416,,427.5,-7.65,-5.29,16.357,,,
104,420,0.289,-1.599,420,,439.7,-7.53,-5.24,16.41,,,
105,424,0.99,-1.823,424,,451.8,-7.62,-5.19,16.464,,,
106,428,0.521,-2.111,428,,464,-7.46,-5.07,16.517,,,
107,432,0.468,-1.912,432,,476.2,-7.74,-5.19,16.571,,,
108,436,0.57,-1.439,436,,488.3,-7.52,-5.28,16.624,,,
109,440,0.749,-1.968,440,,500.5,-7.72,-5.41,16.678,,,
110,444,0.492,-1.864,444,,512.6,-7.57,-4.96,16.731,,,
111,448,0.542,-1.688,448,,524.8,-7.58,-5.32,16.785,,,
112,452,0.217,-1.64,452,,537,-7.75,-5.11,16.838,,,
113,456,0.911,-1.783,456,,549.1,-7.59,-5.34,16.892,,,
114,460,0.694,-1.625,460,,561.3,-8.04,-5.76,16.945,,,
115,464,0.784,-1.892,464,,573.5,-7.9,-5.41,16.999,,,
116,468,0.832,-1.292,468,,585.6,-7.93,-5.61,17.052,,,
117,472,0.829,-1.275,472,,610,-7.9,-5.53,17.106,,,
118,476,0.835,-2.008,476,,634.3,-7.97,-5.76,17.159,,,
119,480,1.193,-1.996,480,,646.4,-7.79,-5.56,17.213,,,
120,484,0.615,-2.166,484,,658.6,-8.04,-5.39,17.266,,,
121,488,0.865,-2.389,488,,670.8,-7.68,-5.32,17.32,,,
,,,,,,682.9,-7.78,-5.46,17.391,,,
,,,,,,695.1,-7.13,-5.74,17.462,,,
,,,,,,707.3,-7.94,-6.21,17.533,,,
,,,,,,731.6,-7.6,-6.22,17.604,,,
,,,,,,792.4,-7.06,-6.36,17.675,,,
,,,,,,853.2,-7.53,-6.37,17.746,,,
,,,,,,914,-7.61,-6.42,17.817,,,
,,,,,,958.5,-7.77,-6.44,17.888,,,
,,,,,,1003,-7.56,-6.52,17.959,,,
,,,,,,1023.8,-7.45,-6.36,18.032,,,
,,,,,,1044.6,-7.21,-6.19,18.104,,,
,,,,,,1065.4,-7.46,-6.33,18.177,,,
,,,,,,1086.1,-7.56,-6,18.249,,,
,,,,,,1106.9,-7.91,-6.17,18.322,,,
,,,,,,1127.7,-7.73,-5.98,18.394,,,
,,,,,,1148.5,-7.61,-6.27,18.467,,,
,,,,,,1169.3,-7.74,-6.18,18.54,,,
,,,,,,1190.1,-7.48,-6.13,18.612,,,
,,,,,,1210.9,-7.74,-6.01,18.685,,,
,,,,,,1231.6,-7.63,-6.26,18.757,,,
,,,,,,1252.4,-7.4,-6.02,18.83,,,
,,,,,,1273.2,-7.73,-6.24,18.903,,,
,,,,,,1294,-7.31,-6.11,18.975,,,
,,,,,,1327.6,-7.54,-6.17,19.048,,,
,,,,,,1361.3,-7.77,-5.88,19.12,,,
,,,,,,1394.9,-7.71,-6.12,19.193,,,
,,,,,,1428.6,-7.69,-5.96,19.265,,,
,,,,,,1494.3,-7.54,-6.04,19.338,,,
,,,,,,1581.6,-7.69,-6.85,19.37,,,
,,,,,,1668.9,-7.6,-6.88,19.423,,,
,,,,,,1756.2,-7.28,-6.81,19.476,,,
,,,,,,1843.5,-7.78,-6.65,19.529,,,
,,,,,,2070.4,-6.93,-6.47,19.582,,,
,,,,,,2088,-7.61,-6.56,19.635,,,
,,,,,,2107.6,-7.36,-6.43,19.688,,,
,,,,,,2127.2,-7.35,-6.33,19.741,,,
,,,,,,2146.8,-7.19,-6.37,19.794,,,
,,,,,,2166.4,-7.28,-6.37,19.847,,,
,,,,,,2186,-7.14,-6.27,19.9,,,
,,,,,,2205.6,-7.34,-6.32,19.953,,,
,,,,,,2225.2,-7.75,-6.21,20.006,,,
,,,,,,2244.8,-7.61,-6.25,20.059,,,
,,,,,,2264.3,-7.4,-6.07,20.112,,,
,,,,,,2283.9,-7.76,-6.22,20.165,,,
,,,,,,2303.5,-7.71,-6.18,20.218,,,
,,,,,,2323.1,-7.66,-6.28,20.271,,,
,,,,,,2342.7,-7.66,-6.38,20.324,,,
,,,,,,2362.3,-7.56,-6.26,20.377,,,
,,,,,,2381.9,-7.6,-6.14,20.43,,,
,,,,,,2401.5,-7.21,-6.07,20.483,,,
,,,,,,2421.1,-7,-6.15,20.536,,,
,,,,,,2440.7,-8.11,-6.16,20.589,,,
,,,,,,2460.3,-6.76,-6.16,20.642,,,
,,,,,,2479.8,-6.75,-6.26,20.695,,,
,,,,,,2499.4,-6.64,-6.32,20.748,,,
,,,,,,2519,-6.75,-6.23,20.801,,,
,,,,,,2524.1,-6.96,-6.3,20.854,,,
,,,,,,2529.3,-6.69,-6.24,20.907,,,
,,,,,,2534.4,-6.72,-6.32,20.96,,,
,,,,,,2539.5,-6.71,-6.39,21.037,,,
,,,,,,2544.7,-7.26,-6.34,21.114,,,
,,,,,,2549.8,-7.36,-6.16,21.192,,,
,,,,,,2555,-7.35,-6.2,21.269,,,
,,,,,,2560.1,-7.46,-6.3,21.346,,,
,,,,,,2565.3,-7.6,-5.97,21.423,,,
,,,,,,2570.4,-7.25,-6.03,21.501,,,
,,,,,,2575.5,-7.37,-6.08,21.578,,,
,,,,,,2580.7,-7.76,-6.1,21.655,,,
,,,,,,2585.8,-7.8,-6.11,21.732,,,
,,,,,,2591,-7.53,-6.05,21.81,,,
,,,,,,2596.1,-7.35,-6.1,21.887,,,
,,,,,,2601.3,-7.37,-6.25,21.964,,,
,,,,,,2606.4,-8.32,-6.33,22.041,,,
,,,,,,2611.5,-7.39,-6.08,22.118,,,
,,,,,,2616.7,-7.67,-6.07,22.196,,,
,,,,,,2621.8,-7.86,-6.1,22.273,,,
,,,,,,2627.1,-7.79,-6.18,22.36,,,
,,,,,,2652.8,-7.49,-6.3,22.446,,,
,,,,,,2678.5,-7.67,-6.22,22.533,,,
,,,,,,2704.2,-7.42,-6.17,22.62,,,
,,,,,,2729.9,-6.88,-6.17,22.706,,,
,,,,,,2755.6,-6.7,-6.06,22.793,,,
,,,,,,2781.2,-7.36,-6.21,22.88,,,
,,,,,,2832.6,-7.83,-6.19,22.966,,,
,,,,,,2896.9,-7.91,-6.27,23.053,,,
,,,,,,2961.1,-7.39,-6.28,23.14,,,
,,,,,,3025.4,-7.41,-6.39,23.226,,,
,,,,,,3089.6,-7.12,-6.49,23.313,,,
,,,,,,3153.8,-7.23,-6.38,23.4,,,
,,,,,,3217.6,-7.44,-6.27,23.487,,,
,,,,,,3330.4,-7.28,-6.26,23.573,,,
,,,,,,3443.2,-7.45,-6.11,23.66,,,
,,,,,,3556,-8.59,-5.95,23.747,,,
,,,,,,3631.2,-8.27,-5.78,23.833,,,
,,,,,,3649.2,-8.1,-5.75,23.92,,,
,,,,,,3667.2,-7.74,-5.57,24.007,,,
,,,,,,3685.2,-7.85,-5.41,24.093,,,
,,,,,,3703.2,-7.73,-5.17,24.18,,,
,,,,,,3721.1,-7.8,-5.22,24.241,,,
,,,,,,3739.1,-8.02,-5.47,24.302,,,
,,,,,,3757.1,-8.29,-5.45,24.363,,,
,,,,,,3775.1,-8.08,-5.61,24.424,,,
,,,,,,3793.1,-8.08,-6,24.485,,,
,,,,,,3811,-8.16,-6.37,24.546,,,
,,,,,,3829,-8.48,-6.76,24.607,,,
,,,,,,3847,-8.04,-6.88,24.669,,,
,,,,,,3865,-8,-6.92,24.73,,,
,,,,,,3883,-8.46,-6.74,24.79,,,
,,,,,,3901,-7.88,-6.53,24.85,,,
,,,,,,3918.9,-8.05,-6.48,24.913,,,
,,,,,,3936.9,-8.15,-6.52,24.974,,,
,,,,,,3954.9,-8.25,-6.49,25.035,,,
,,,,,,3972.9,-8.16,-6.27,25.096,,,
,,,,,,3990.9,-8.2,-6.27,25.157,,,
,,,,,,4008.9,-8.15,-6.3,25.218,,,
,,,,,,4030.4,-8.21,-6.41,25.279,,,
,,,,,,4045.1,-8.31,-6.27,25.34,,,
,,,,,,4049.4,-8.18,-6.34,25.401,,,
,,,,,,4053.7,-8.38,-6.48,25.462,,,
,,,,,,4057.9,-8.12,-6.6,25.523,,,
,,,,,,4062.2,-8.13,-6.43,25.584,,,
,,,,,,4066.5,-8.38,-6.25,25.768,,,
,,,,,,4070.8,-8,-6.17,25.829,,,
,,,,,,4075,-8.38,-6.2,25.883,,,
,,,,,,4079.3,-8.2,-6.27,25.938,,,
,,,,,,4083.6,-8.34,-6.35,25.992,,,
,,,,,,4087.9,-8.34,-6.48,26.046,,,
,,,,,,4092.1,-8.13,-6.44,26.101,,,
,,,,,,4096.4,-8.39,-6.54,26.155,,,
,,,,,,4100.7,-8.18,-6.52,26.21,,,
,,,,,,4105,-8.56,-6.59,26.264,,,
,,,,,,4109.2,-8.21,-6.67,26.318,,,
,,,,,,4113.5,-8.63,-6.74,26.373,,,
,,,,,,4117.8,-8.11,-7.04,26.427,,,
,,,,,,4126.3,-8.14,-6.9,26.482,,,
,,,,,,4134.9,-8.38,-6.84,26.536,,,
,,,,,,4143.4,-8.28,-6.78,26.59,,,
,,,,,,4152,-7.7,-6.68,26.645,,,
,,,,,,4175.5,-7.95,-6.75,26.699,,,
,,,,,,4199,-8.47,-6.85,26.754,,,
,,,,,,4222.4,-8.41,-7.2,26.808,,,
,,,,,,4245.9,-7.92,-7.38,26.862,,,
,,,,,,4272.9,-8.18,-7.33,26.917,,,
,,,,,,4305.3,-8.51,-7.19,26.971,,,
,,,,,,4337.7,-8.62,-7.09,27.026,,,
,,,,,,4370,-8.59,-7.01,27.08,,,
,,,,,,4402.4,-8.3,-6.99,27.152,,,
,,,,,,4434.8,-8.49,-7.04,27.296,,,
,,,,,,4467.1,-8.5,-7.14,27.439,,,
,,,,,,4499.5,-7.57,-7.16,27.583,,,
,,,,,,4531.9,-8.48,-7.56,27.726,,,
,,,,,,4564.2,-8.46,-7.74,27.87,,,
,,,,,,4596.6,-8.5,-7.13,28.014,,,
,,,,,,4629,-7.87,-6.97,28.157,,,
,,,,,,4679.8,-7.98,-7.03,28.301,,,
,,,,,,4730.5,-8.53,-6.94,28.445,,,
,,,,,,4781.3,-8.5,-6.99,28.588,,,
,,,,,,4832.1,-8.3,-7.41,28.732,,,
,,,,,,4882.8,-8.67,-7.76,28.876,,,
,,,,,,4933.6,-8.35,-8.06,29.019,,,
,,,,,,4984.3,-8.43,-8.05,29.163,,,
,,,,,,5009.7,-8.3,-8.55,29.428,,,
,,,,,,5035.1,-8.43,-8,29.694,,,
,,,,,,5060.5,-8.18,-7.47,29.959,,,
,,,,,,5085.8,-8.12,-6.65,30.225,,,
,,,,,,5111.2,-8.4,-6.59,30.49,,,
,,,,,,5136.6,-8.05,-6.73,30.7,,,
,,,,,,5162,-7.82,-7.07,30.91,,,
,,,,,,5177.3,-7.77,-7.18,31.12,,,
,,,,,,5190.2,-8.47,-7.85,31.33,,,
,,,,,,5203.1,-8.44,-7.64,31.54,,,
,,,,,,5215.9,-7.88,-7.63,31.75,,,
,,,,,,5228.8,-8.49,-7.61,31.96,,,
,,,,,,5241.6,-8.65,-7.31,32.17,,,
,,,,,,5254.5,-8.4,-7.44,32.375,,,
,,,,,,5267.3,-8.38,-8.29,32.58,,,
,,,,,,5280.2,-8.57,-8.61,32.785,,,
,,,,,,5293.1,-8.15,,,,,
,,,,,,5305.9,-8.49,,,,,
,,,,,,5318.8,-8.35,,,,,
,,,,,,5331.6,-8.45,,,,,
,,,,,,5344.5,-8.5,,,,,
,,,,,,5357.3,-8.59,,,,,
,,,,,,5370.2,-8.46,,,,,
,,,,,,5383,-8.65,,,,,
,,,,,,5389.5,-8.55,,,,,
,,,,,,5395.9,-8.66,,,,,
,,,,,,5402.4,-8.78,,,,,
,,,,,,5405,-8.7,,,,,
,,,,,,5414.1,-8.56,,,,,
,,,,,,5420.5,-8.52,,,,,
,,,,,,5427,-8.73,,,,,
,,,,,,5433.5,-8.66,,,,,
,,,,,,5440,-8.12,,,,,
,,,,,,5452.9,-8.31,,,,,
,,,,,,5459.4,-8.69,,,,,
,,,,,,5465.9,-8.91,,,,,
,,,,,,5472.4,-8.05,,,,,
,,,,,,5478.8,-8.28,,,,,
,,,,,,5485.3,-8.81,,,,,
,,,,,,5491.8,-8.73,,,,,
,,,,,,5498.3,-8.93,,,,,
,,,,,,5504.7,-8.49,,,,,
,,,,,,5511.2,-8.59,,,,,
,,,,,,5517.7,-8.46,,,,,
,,,,,,5524.2,-8.76,,,,,
,,,,,,5530.6,-8.85,,,,,
,,,,,,5537.1,-8.38,,,,,
,,,,,,5543.6,-8.91,,,,,
,,,,,,5550.1,-8.67,,,,,
,,,,,,5556.6,-8.56,,,,,
,,,,,,5563,-8.51,,,,,
,,,,,,5569.5,-8.64,,,,,
,,,,,,5576,-8.97,,,,,
,,,,,,5595.4,-8.42,,,,,
,,,,,,5621.3,-8.82,,,,,
,,,,,,5647.2,-9.17,,,,,
,,,,,,5673.1,-9.17,,,,,
,,,,,,5699,-9.04,,,,,
,,,,,,5724.9,-8.57,,,,,
,,,,,,5750.8,-9.28,,,,,
,,,,,,5782.1,-8.79,,,,,
,,,,,,5825.8,-8.95,,,,,
,,,,,,5869.5,-8.78,,,,,
,,,,,,5913.2,-9.06,,,,,
,,,,,,5956.9,-8.71,,,,,
,,,,,,6000.6,-8.81,,,,,
,,,,,,6044.3,-8.96,,,,,
,,,,,,6088,-8.89,,,,,
,,,,,,6131.7,-9.06,,,,,
,,,,,,6175.4,-8.82,,,,,
,,,,,,6219.1,-8.76,,,,,
,,,,,,6262.8,-9.03,,,,,
,,,,,,6306.5,-8.87,,,,,
,,,,,,6343.5,-8.82,,,,,
,,,,,,6376.2,-8.55,,,,,
,,,,,,6408.8,-8.9,,,,,
,,,,,,6441.4,-8.95,,,,,
,,,,,,6474,-8.96,,,,,
,,,,,,6506.6,-8.9,,,,,
,,,,,,6539.2,-8.5,,,,,
,,,,,,6578.4,-8.8,,,,,
,,,,,,6620.4,-8.18,,,,,
,,,,,,6662.4,-8.57,,,,,
,,,,,,6704.3,-8.43,,,,,
,,,,,,6746.3,-8.78,,,,,
,,,,,,6788.2,-8.94,,,,,
,,,,,,6830.2,-8.31,,,,,
,,,,,,6872.2,-8.55,,,,,
,,,,,,6914.1,-8.94,,,,,
,,,,,,6956.1,-8.47,,,,,
,,,,,,6998,-8.72,,,,,
,,,,,,7031.5,-8.83,,,,,
,,,,,,7064.9,-8.57,,,,,
,,,,,,7094.9,-8.96,,,,,
,,,,,,7128.4,-9.31,,,,,
,,,,,,7161.8,-8.78,,,,,
,,,,,,7195.2,-9.08,,,,,
,,,,,,7228.6,-8.92,,,,,
,,,,,,7262,-9.01,,,,,
,,,,,,7295.4,-9.23,,,,,
,,,,,,7328.9,-9.19,,,,,
,,,,,,7362.3,-8.99,,,,,
,,,,,,7395.7,-9.32,,,,,
,,,,,,7455.4,-9.17,,,,,
,,,,,,7518,-9.2,,,,,
,,,,,,7580.6,-8.92,,,,,
,,,,,,7643.2,-9.13,,,,,
,,,,,,7694.2,-9.15,,,,,
,,,,,,7718.1,-9.2,,,,,
,,,,,,7742.1,-8.68,,,,,
,,,,,,7766.1,-9.06,,,,,
,,,,,,7790,-9.17,,,,,
,,,,,,7814,-9.28,,,,,
,,,,,,7837.9,-9.2,,,,,
,,,,,,7861.9,-9,,,,,
,,,,,,7885.9,-8.95,,,,,
,,,,,,7974.5,-9.07,,,,,
,,,,,,7986.5,-8.8,,,,,
,,,,,,7998.5,-9.08,,,,,
,,,,,,8010.5,-8.56,,,,,
,,,,,,8015.3,-8.96,,,,,
,,,,,,8017.7,-9.2,,,,,
,,,,,,8020.1,-8.91,,,,,
,,,,,,8022.4,-8.84,,,,,
,,,,,,8027.2,-8.91,,,,,
,,,,,,8029.6,-9.26,,,,,
,,,,,,8032,-9.01,,,,,
,,,,,,8034.4,-8.75,,,,,
,,,,,,8039.2,-8.82,,,,,
,,,,,,8041.6,-9.13,,,,,
,,,,,,8044,-8.7,,,,,
,,,,,,8046.4,-8.59,,,,,
,,,,,,8048.8,-8.95,,,,,
,,,,,,8051.2,-8.14,,,,,
,,,,,,8053.6,-8.63,,,,,
,,,,,,8056,-8.69,,,,,
,,,,,,8058,-8.8,,,,,
,,,,,,8061,-8.7,,,,,
,,,,,,8063,-8.61,,,,,
,,,,,,8064,-8.7,,,,,
,,,,,,8066.1,-8.8,,,,,
,,,,,,8068.1,-8.74,,,,,
,,,,,,8070.1,-8.71,,,,,
,,,,,,8071.1,-8.7,,,,,
,,,,,,8072.1,-8.93,,,,,
,,,,,,8073.1,-8.64,,,,,
,,,,,,8074.1,-8.47,,,,,
,,,,,,8075.1,-8.64,,,,,
,,,,,,8076.1,-8.86,,,,,
,,,,,,8077.1,-8.18,,,,,
,,,,,,8078.1,-8.26,,,,,
,,,,,,8080.2,-8.71,,,,,
,,,,,,8081.2,-8.71,,,,,
,,,,,,8082.2,-8.67,,,,,
,,,,,,8083.2,-8.58,,,,,
,,,,,,8084.2,-8.72,,,,,
,,,,,,8085.2,-8.61,,,,,
,,,,,,8086.2,-8.7,,,,,
,,,,,,8087.2,-8.83,,,,,
,,,,,,8088.2,-8.44,,,,,
,,,,,,8090.2,-8.45,,,,,
,,,,,,8091.2,-8.57,,,,,
,,,,,,8092.2,-8.68,,,,,
,,,,,,8093.3,-8.56,,,,,
,,,,,,8094.3,-8.57,,,,,
,,,,,,8095.3,-8.56,,,,,
,,,,,,8096.3,-8.69,,,,,
,,,,,,8097.3,-8.49,,,,,
,,,,,,8098.3,-8.51,,,,,
,,,,,,8100.3,-8.8,,,,,
,,,,,,8101.3,-8.96,,,,,
,,,,,,8102.3,-8.84,,,,,
,,,,,,8103.3,-8.71,,,,,
,,,,,,8104.3,-8.68,,,,,
,,,,,,8105.3,-8.65,,,,,
,,,,,,8106.3,-8.68,,,,,
,,,,,,8107.4,-8.76,,,,,
,,,,,,8108.4,-8.64,,,,,
,,,,,,8109.4,-8.76,,,,,
,,,,,,8110.4,-8.65,,,,,
,,,,,,8111.4,-9.02,,,,,
,,,,,,8112.4,-8.96,,,,,
,,,,,,8113.4,-8.96,,,,,
,,,,,,8114.4,-8.87,,,,,
,,,,,,8115.4,-8.86,,,,,
,,,,,,8116.4,-8.7,,,,,
,,,,,,8117.4,-9.13,,,,,
,,,,,,8118.4,-8.98,,,,,
,,,,,,8119.4,-9.02,,,,,
,,,,,,8120.4,-8.93,,,,,
,,,,,,8121.5,-8.76,,,,,
,,,,,,8122.5,-8.65,,,,,
,,,,,,8123.5,-8.97,,,,,
,,,,,,8124.5,-8.85,,,,,
,,,,,,8125.5,-9.08,,,,,
,,,,,,8126.5,-8.94,,,,,
,,,,,,8127.5,-8.8,,,,,
,,,,,,8128.5,-8.91,,,,,
,,,,,,8129.5,-8.97,,,,,
,,,,,,8130.5,-9.16,,,,,
,,,,,,8131.5,-9.13,,,,,
,,,,,,8132.5,-9.2,,,,,
,,,,,,8133.5,-9.04,,,,,
,,,,,,8134.5,-8.96,,,,,
,,,,,,8135.6,-9.26,,,,,
,,,,,,8136.6,-9.04,,,,,
,,,,,,8137.6,-8.98,,,,,
,,,,,,8138.6,-8.87,,,,,
,,,,,,8139.6,-9.11,,,,,
,,,,,,8140.6,-9.39,,,,,
,,,,,,8141.6,-9.27,,,,,
,,,,,,8142.6,-9.32,,,,,
,,,,,,8143.6,-9.06,,,,,
,,,,,,8144.6,-9.26,,,,,
,,,,,,8145.6,-9.21,,,,,
,,,,,,8146.6,-9.36,,,,,
,,,,,,8147.6,-9.41,,,,,
,,,,,,8148.6,-9.24,,,,,
,,,,,,8149.7,-8.94,,,,,
,,,,,,8150.7,-8.93,,,,,
,,,,,,8151.7,-8.9,,,,,
,,,,,,8152.7,-8.89,,,,,
,,,,,,8153.7,-8.93,,,,,
,,,,,,8154.7,-8.83,,,,,
,,,,,,8155.7,-8.96,,,,,
,,,,,,8156.7,-8.98,,,,,
,,,,,,8157.7,-9.02,,,,,
,,,,,,8158.7,-8.77,,,,,
,,,,,,8159.7,-8.95,,,,,
,,,,,,8160.7,-9.35,,,,,
,,,,,,8161.7,-9.42,,,,,
,,,,,,8162.7,-9.4,,,,,
,,,,,,8163.8,-9.19,,,,,
,,,,,,8164.8,-9.03,,,,,
